Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\OSP_Carrier_Board\Project Outputs for OSP_Carrier_Board\Pick Place for OSP_Carrier_V8.csv

========================================================================================================================
File Design Information:

Date:       09-02-22
Time:       21:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J5","FFC","TopLayer","HIROSE_FH58M-7S-0.25SHW-99","61.024","649.606","90","Hirose FH58M-7S-0.25SHW(99) 7-pin Top+Bottom Contact FFC Connector"
"C65","0.1uF","TopLayer","CAP_0402/1005","-1086.614","-629.921","270","CAP CER 0.1UF 50V X7R 0402"
"C64","0.1uF","TopLayer","CAP_0402/1005","1062.992","-574.803","0","CAP CER 0.1UF 50V X7R 0402"
"LD8","Yellow","BottomLayer","LED_0603/1608_YELLOW","1047.244","-232.284","180","LED YELLOW CLEAR 0603 SMD"
"FB4","220 Ohm @ 100MHz","BottomLayer","FER_0402/1005","1039.861","-500.000","90","FERRITE CHIP 220 OHM 500MA 0402"
"LD5","Red","BottomLayer","LED_0603/1608_RED","1045.669","-55.118","180","LED RED CLEAR 0603 SMD"
"R34","10k","TopLayer","RES_0402/1005","350.394","35.433","0","RES SMD 10K OHM 1% 1/10W 0402"
"FB2","220 Ohm @ 100MHz","BottomLayer","FER_0402/1005","-692.913","-141.732","0","FERRITE CHIP 220 OHM 500MA 0402"
"C63","1uF","TopLayer","CAP_0402/1005","-681.102","-377.953","180","CAP CER 1UF 10V X5R 0402"
"C24","1uF","BottomLayer","CAP_0402/1005","-865.021","-259.234","90","CAP CER 1UF 10V X5R 0402"
"C27","1uF","BottomLayer","CAP_0402/1005","-644.548","-259.234","90","CAP CER 1UF 10V X5R 0402"
"U8","BU33SD5WG","BottomLayer","ROHM_SSOP5","-754.785","-237.974","0","ROHM BU33SD5WG-TR 3.3V 500mA LDO"
"SW3","PCM12SMTR","TopLayer","*SW_PCM12SMTR_PCM12SMTR(PRIMARY)","-1157.776","688.976","270",""
"U7","AP7313-18SAG-7","BottomLayer","DIODES_SOT-23-3","-625.984","106.299","270","IC REG LDO 1.8V 0.15A SOT23-3"
"U6","BU33SD5WG","BottomLayer","ROHM_SSOP5","-503.956","-96.277","0","ROHM BU33SD5WG-TR 3.3V 500mA LDO"
"C62","1uF","BottomLayer","CAP_0402/1005","-606.299","204.724","180","CAP CER 1UF 10V X5R 0402"
"C61","0.1uF","BottomLayer","CAP_0402/1005","-645.669","7.635","180","CAP CER 0.1UF 50V X7R 0402"
"C60","4.7uF","BottomLayer","CAP_0402/1005","-645.669","-39.370","180","CAP CER 4.7UF 10V X5R 0402"
"C55","1uF","BottomLayer","CAP_0402/1005","-393.701","-115.977","90","CAP CER 1UF 10V X5R 0402"
"C54","1uF","BottomLayer","CAP_0402/1005","-614.173","-115.977","90","CAP CER 1UF 10V X5R 0402"
"R28","10k","TopLayer","RES_0402/1005","-196.850","748.032","270","RES SMD 10K OHM 1% 1/10W 0402"
"BT1","BP2000 / AVX 9155-004-201-006","TopLayer","SAMSUNG_BP2000","-1307.087","281.496","0","Samsung BP2000 2000mAh battery for Galaxy Camera 2, connector AVX 9155-004-201-006"
"U4","BMI160","TopLayer","BOSCH_LGA14","59.055","500.000","90","BMI160 2.5 x 3 mm Tiaxial Accelerometer / Gyroscope Inertial Measurement Unit"
"C39","0.1uF","TopLayer","CAP_0402/1005","145.669","444.882","270","CAP CER 0.1UF 50V X7R 0402"
"MK2","MM023802-1","TopLayer","MEMS_MIC","-1181.299","-665.059","0","DB Unlimited MM023802-1 Knowles-Style Bottom Port MEMS Microphone"
"MK1","MM023802-1","TopLayer","MEMS_MIC","1063.089","-664.272","0","DB Unlimited MM023802-1 Knowles-Style Bottom Port MEMS Microphone"
"Q7","NX3020NAKW,115","BottomLayer","NXP_SOT-323-3","393.701","-460.630","270","MOSFET N-CH 30V 180MA SOT323"
"FB1","220 Ohm @ 100MHz","TopLayer","FER_0402/1005","-283.465","-185.039","0","FERRITE CHIP 220 OHM 500MA 0402"
"Y1","12.288 MHz","TopLayer","OSC_2.5x2.0mm","386.811","-469.488","90","Microchip 12.288 MHz SMD MEMS Oscillator"
"A1","DART-SD410","BottomLayer","DART-SD410","284.252","473.228","0","Variscite DART-SD410 System on Module"
"C1","4.7uF","TopLayer","CAP_0402/1005","-371.401","-74.803","0","CAP CER 4.7UF 10V X5R 0402"
"C2","1uF","TopLayer","CAP_0402/1005","-371.401","-122.047","180","CAP CER 1UF 10V X5R 0402"
"C3","0.1uF","TopLayer","CAP_0402/1005","-371.401","-185.039","0","CAP CER 0.1UF 50V X7R 0402"
"C4","0.1uF","TopLayer","CAP_0402/1005","-259.842","-98.425","270","CAP CER 0.1UF 50V X7R 0402"
"C5","0.1uF","TopLayer","CAP_0402/1005","283.464","-653.543","0","CAP CER 0.1UF 50V X7R 0402"
"C6","0.1uF","BottomLayer","CAP_0402/1005","110.236","-311.024","180","CAP CER 0.1UF 50V X7R 0402"
"C7","0.1uF","BottomLayer","CAP_0402/1005","-15.748","-374.016","0","CAP CER 0.1UF 50V X7R 0402"
"C8","0.01uF","TopLayer","CAP_0402/1005","358.268","-133.858","270","CAP CER 10000PF 25V X7R 0402"
"C10","0.01uF","BottomLayer","CAP_0402/1005","15.748","-279.528","270","CAP CER 10000PF 25V X7R 0402"
"C11","0.01uF","BottomLayer","CAP_0402/1005","78.740","-405.512","90","CAP CER 10000PF 25V X7R 0402"
"C12","0.1uF","BottomLayer","CAP_0402/1005","62.992","-232.284","270","CAP CER 0.1UF 50V X7R 0402"
"C13","0.1uF","BottomLayer","CAP_0402/1005","31.496","-452.756","90","CAP CER 0.1UF 50V X7R 0402"
"C14","0.1uF","BottomLayer","CAP_0402/1005","350.394","-559.055","270","CAP CER 0.1UF 50V X7R 0402"
"C15","0.1uF","BottomLayer","CAP_0402/1005","157.480","-405.512","0","CAP CER 0.1UF 50V X7R 0402"
"C16","0.1uF","BottomLayer","CAP_0402/1005","-62.992","-326.772","0","CAP CER 0.1UF 50V X7R 0402"
"C17","0.1uF","TopLayer","CAP_0402/1005","468.504","-452.756","270","CAP CER 0.1UF 50V X7R 0402"
"C18","0.1uF","TopLayer","CAP_0402/1005","145.669","531.496","270","CAP CER 0.1UF 50V X7R 0402"
"C19","0.1uF","BottomLayer","CAP_0402/1005","173.228","-295.276","90","CAP CER 0.1UF 50V X7R 0402"
"C20","0.1uF","BottomLayer","CAP_0402/1005","157.480","-358.268","180","CAP CER 0.1UF 50V X7R 0402"
"C47","33pF","TopLayer","CAP_0402/1005","82.677","842.520","180","CAP CER 33PF 50V C0G 0402"
"C48","33pF","TopLayer","CAP_0402/1005","169.291","842.520","0","CAP CER 33PF 50V C0G 0402"
"C56","0.1uF","TopLayer","CAP_0402/1005","704.724","240.157","180","CAP CER 0.1UF 50V X7R 0402"
"C57","47pF","TopLayer","CAP_0402/1005","913.386","181.102","180","CAP CER 47PF 50V C0G 0402"
"C58","1uF","TopLayer","CAP_0603/1608","720.472","185.039","180","CAP CER 1UF 25V X7R 0603"
"C59","0.1uF","TopLayer","CAP_0402/1005","480.315","240.157","0","CAP CER 0.1UF 50V X7R 0402"
"C70","1uF","TopLayer","CAP_0603/1608","-350.394","476.378","180","CAP CER 1UF 25V X7R 0603"
